Data; Reservas internacionais;;
jan/11;297.696;;
fev/11;307.516;;
mar/11;317.146;;
abr/11;328.062;;
mai/11;333.017;;
jun/11;335.775;;
jul/11;346.144;;
ago/11;353.397;;
set/11;349.708;;
out/11;352.928;;
nov/11;352.073;;
dez/11;352.012;;
jan/12;355.075;;
fev/12;356.330;;
mar/12;365.216;;
abr/12;374.272;;
mai/12;372.409;;
jun/12;373.910;;
jul/12;376.154;;
ago/12;377.221;;
set/12;378.726;;
out/12;377.753;;
nov/12;378.560;;
dez/12;373.147;;
jan/13;373.417;;
fev/13;373.742;;
mar/13;376.934;;
abr/13;378.665;;
mai/13;374.417;;
jun/13;369.402;;
jul/13;371.966;;
ago/13;367.002;;
set/13;368.654;;
out/13;364.505;;
nov/13;362.410;;
dez/13;358.808;;
jan/14;360.936;;
fev/14;362.691;;
mar/14;363.914;;
abr/14;366.717;;
mai/14;368.752;;
jun/14;373.516;;
jul/14;376.792;;
ago/14;379.157;;
set/14;375.513;;
out/14;375.833;;
nov/14;375.426;;
dez/14;363.551;;
jan/15;361.767;;
fev/15;362.547;;
mar/15;362.744;;
abr/15;364.473;;
mai/15;366.647;;
jun/15;368.668;;
jul/15;368.252;;
ago/15;368.159;;
set/15;361.370;;
out/15;361.230;;
nov/15;357.016;;
dez/15;356.464;;
jan/16;357.507;;
fev/16;359.368;;
mar/16;357.698;;
abr/16;362.201;;
mai/16;363.447;;
jun/16;364.152;;
jul/16;369.340;;
ago/16;369.541;;
set/16;370.417;;
out/16;367.528;;
nov/16;365.556;;
dez/16;365.016;;
jan/17;367.708;;
fev/17;368.981;;
mar/17;370.111;;
abr/17;374.945;;
mai/17;376.491;;
jun/17;377.175;;
jul/17;381.029;;
ago/17;381.843;;
set/17;381.244;;
out/17;380.351;;
nov/17;381.056;;
dez/17;373.972;;
jan/18;375.701;;
fev/18;377.035;;
mar/18;379.577;;
abr/18;379.979;;
mai/18;382.549;;
jun/18;379.500;;
jul/18;379.444;;
ago/18;381.393;;
set/18;380.738;;
out/18;380.290;;
nov/18;379.722;;
dez/18;374.715;;
jan/19;376.984;;
fev/19;378.448;;
mar/19;384.165;;
abr/19;383.799;;
mai/19;386.162;;
jun/19;388.092;;
jul/19;385.730;;
ago/19;386.478;;
set/19;376.434;;
out/19;369.836;;
nov/19;366.376;;
dez/19;356.884;;
jan/20;359.394;;
fev/20;362.460;;
mar/20;343.165;;
abr/20;339.317;;
mai/20;345.706;;
jun/20;348.781;;
jul/20;354.664;;
ago/20;356.092;;
set/20;356.606;;
out/20;354.546;;
nov/20;356.004;;
dez/20;355.620;;
jan/21;355.416;;
fev/21;356.070;;
mar/21;347.413;;
abr/21;350.996;;
mai/21;353.448;;
jun/21;352.486;;
jul/21;355.671;;
ago/21;370.395;;
set/21;368.886;;
out/21;367.927;;
nov/21;367.772;;
dez/21;362.204;;
jan/22;358.398;;
fev/22;357.740;;
mar/22;353.169;;
abr/22;345.097;;
mai/22;346.415;;
jun/22;341.958;;
jul/22;346.403;;
ago/22;339.664;;
set/22;327.580;;
out/22;325.546;;
nov/22;331.505;;
dez/22;324.703;;
jan/23;331.122;;
fev/23;328.098;;
mar/23;341.158;;
abr/23;345.725;;
mai/23;343.489;;
jun/23;343.620;;
jul/23;345.476;;
ago/23;344.177;;
set/23;340.324;;
out/23;340.247;;
nov/23;348.406;;
dez/23;355.034;;
jan/24;355.066;;
fev/24;352.705;;
mar/24;355.008;;
abr/24;351.599;;
